id,label,tweet,isVulgar,isNonAscii
113,0,Get a Taste of Frank Ocean’s New… news photography fashion health fail tech ipad iphone funny lol,0,1
117,0,fanta apple fanta is delish!! Sunday sundayfunday healing with a not so…,0,1
119,0,She’s so loverly tweet rabbitsofinstagram bunniesofinstagram rabbit hop bounce charlie houserabbit bunnylove rabbitsofig shotoniphone apple iphone7plus photography photographer family chuck charles pic.twitter.com/gpW3NfUZwH,0,1
121,0,Photo: vegan glutenfree apple pie day (at Silly Sally’s Pop Up Diner),0,1
131,0,¡AL FIIIIIN! Laptop Sony Vaio White Black Case Minnie beautiful Inlove…,0,1
133,0,username：splinkio : thai curry yum food it. With iphone iphoneonly iphoneography for picoft...,0,1
138,0,This advertisement for New Samsung Galaxy Gear VR is bad well made commercial. -feeling. ?v=MN6JFWo6eU0&feature=share …,1,1
144,0,Hooray!! My stuff arrived . excited case android samsung galaxy today open now…,0,1
148,0,Golden State Warriors photooftheday me instadaily like iphone follow colorful style…,0,1
151,0,Father and son. samsung live laugh life instago instahub instamood instagood…,0,1
152,0,Happy bday jj bday jj crazyfriend iphone party lb l4l likeall likeback…,0,1
155,0,NICE ONE valentinesday PlaystationAsia AD ps4 february playstation sony gamers college…,0,1
156,0,portrait me myself and i. Shot with sonya6300 sonyalpha sonycamera sony sony35mm 35mm dof bokeh market markt hemd schwarz blacknwhite blackandwhite grey smile … ?utm_source=ig_twitter_share&igshid=sk8n6sz2rvku …,0,1
163,0,"The Prophet as a Husband . iphone : android : kindle Book February 01, 2017 a…",0,1
164,0,Upgraded 5s to iPhone 7 apple iphone7 iphone instadaily instagramers instalike… -_Ye6BlRu/,0,1
167,0,My New samsung galaxy tab4 is like a real bæ tablet smile,0,1
168,0,santa has visited my wife earlier this year. to see her iphoneonly iphone sweden… -qujDFqB-S/,0,1
169,0,Hi World old photo followme like4likes good dog solodivertimento samsung…,0,1
172,0,I am happy ps4 sony playstation gta5 fun design white dualshock instaday cool… -e/,0,1
178,0,"Baby, let my love adorn you... miguel fan artdealer samsung hospital braids smile…",0,1
190,0,Like and Share if you want this Car Accessory Bag iphone samsung ... .php/product/new-qualified-1pc-auto-car-accessory-hanging-bag-drinks-phones-storage-pouch-holders-levert-dropship-dig638/ …pic.twitter.com/XhwKNjQFYH,0,1
191,1,"Apple, you suck. Every time you update your OS, you erase my private info and disable the apps I purchase and like. That’s not a Customer friendly approach. Time to go to android. disappointed",0,1
196,0,"Amigos ... Friends ... iphonesia, iphone, instagood, instagram, photooftheday, tweegram, ,…",0,1
197,0,"Things, that make me : reading. I just my pink ereader from sony and use it nearly…",0,1
198,0,EDM IS MY LIFE!!! hardwell amor apple avicii acedemy academia b2b bogota mac music…,0,1
200,0,thank u so much  God Christian iphone instagram Iphonesia pray thanks popularpage ,0,1
202,0,Family family friends beauty fun cuties iphone iphoneisa foreveryoung hookahbar onyx…,0,1
204,0,RT : Hot Deal! High Tech Lightning to USB Cable (3 Feet) for $4.95 ($19.99)! 80% off! geek tech bots deals amazon home iPhone iPad Android Samsung galaxy Google gadgets gifts ios technews power PC dev …pic.twitter.com/YKFPF2fixe,0,1
207,0,"We would like to wish you an amazing day! Make every minute count tls today iphone accessories news life July 10, 2017 at 07:00…",0,1
219,0,Throw your worries be fit and fab! marjdiary samsung fit fabolous smile stayhealthy…,0,1
223,0,219€99 Samsung gear s2 Etat: comme neuve Samsung gears2 prixhappy occasion cash… -njggO/,0,1
232,0,Conversations with my sister. I wouldn't swap her! :) sister text imessage iphone chat… -5/,0,1
233,0,Small and Blue — Steemit @foxkoit/6pj2fa-small-and-blue … blue small life story blog try nature naturephotos bug blue color colors photo photos photography sony sonylens lens sonyphotography image images photofeed feed follow home gr$&@*# grassland land,0,1
238,0,My egg speaker :D speaker egg awesome music ipod apple school chillings relax …,0,1
247,0,Blocky Cars - -blocky-cars-sozday-gonochnyy-bolid.html … Андроид Android Games News IOS Apple iPhone,0,1
252,0,"Finally, iPhone Will Be Dominated by I-PHONE(S) apple ios android iphonex market chinese smartphone -iphone-will-be-dominated-by-i-phones/ …pic.twitter.com/GrC1o4hbsC",0,1
257,0,Senza Love without nasimibeach compleanno birthday hb apple sun iphone…,0,1
260,0,The purpose of life is to live a life of purpose. MondayMotivation … IPhone IPAD iOS MondayMotivation,0,1
264,0,HAPPY NEW YEAR 2018 newyear Reveillon2018 happynewyear2018 newyears years 2018 nouvelleannee nouvelleannée instagram instagram2018 web webmaster webdesign elodiewebdesign apple mac macbook macbookpropic.twitter.com/MZcXKJUWqf,0,1
270,0,Gunslugs 2 - -gunslugs-2-mezhgalakticheskaya-operaciya-spaseniya.html … Андроид Android Games News IOS Apple iPhone,0,1
272,0,Too delicious !! morning friday smoothie nutribullet tasty apple orange banana honey by…pic.twitter.com/0WAUtkFgI8,0,1
289,0,new samsung galaxy advance case I get it from my best friend madelief98 thank you …,0,1
293,0,Gain Followers RT This MUST FOLLOW ME I FOLLOW BACK Follow everyone who rts Gain iphone sougofollow ?åfä,0,1
307,0,Photo: Meanwhile in twitter… Samsung GalaxyPocket SamsungCheerdance Blessed :’) instafun...,0,1
309,0,Happy Mother's Day mom mothersday iphone igdaily instagood iphoneonly me bestoftheday… -qitFu/,0,1
314,0,Apple Iphone X apple iphonex techjunkie tech iphone upgrade youbeauty beaut…,0,1
319,0,My small garden — Steemit @foxkoit/my-small-garden … small garden home life look story photo photos photography image images wow cool Like sony sonylens sonyphotos sonyphoto sonyphotography photofeed feed new top colorchallenge,0,1
323,0,"We would like to wish you an amazing day! Make every minute count tls today iphone accessories news life June 12, 2017 at 07:00…",0,1
326,0,First Yellow — Steemit @foxkoit/first-yellow … yellow nature color colors new story blog photo photos photography image images sony sonylens sonyphoto sonyphotos sonyphotography photofeed news top wow cool like look color colorphotography,0,1
327,0,Be Good To Your Woman Our She Might Do This iphone smash phoneunlocking motorola india uk canada kenya smartphone motorola wikomobile europe france relationshipgoals… ?utm_source=ig_twitter_share&igshid=1difrvki544rs …,0,1
342,1,Since my iphone didn't come with these; I went out & got myself some EarPods & I them !!…,0,1
343,0,cooge beach 2014 Hafizh instamood like4like Samsung Camera Instaphone cooge beach… -A_dh/,0,1
344,1,“@drshwetapuri: 'Apple working on iPhone 6 running on iOS7.' Why ? Was'nt iphone5 flopshow enough ?! For No Reason :P” HEY FANS,0,1
350,0,Highlights of the week - Neues Smartphone - -of-week-neues-smartphone.html … smartphone huawei samsung baby handy neu handykauf pic.twitter.com/VVUs6EABJY,0,1
353,0,Fur ball . . . . dog rescuedog cutenessoverload photooftheday instagood picoftheday on1pics sony … pic.twitter.com/Dw0dLvO3UP,0,1
354,0,Top Photo App Available now >> ?mt=8 … photography usa woman poem valentine iphone kärlek 872,0,1
358,0,The future of cell watches awesome Samsung Android phones watches followme cute me… -PG/,0,1
364,0,I love cats cats cute cool likethisphoto instaphoto instalike IPhone Iphonisia jj…,0,1
365,0,Summer 2015 In Burgundy Sunday Afternoon Smile picoftheafternoon IG Sony…,0,1
367,0,"The Prophet as a Husband . iphone : android : kindle Book March 19, 2017 at 1…",0,1
368,0,Funny Story about picking Apples - laughter laugh smile applesauce Summer Apple Harvest -hubby-makes-me-laugh-2-homemade.html …,0,1
369,0,The time has come.. Bride sister sony proud Family Indonesia Jakarta Grand Asia…,0,1
376,0,Happy Friday! Here is the sticker app preview as promised. :) Enjoy! ——- “Bright Boost” AppStore stickers ios imessage iphone ipad family friends gifpic.twitter.com/Yz5TTDSWpV,0,1
378,0,furr.tree nyc ny vscocam vsco sony sonyalpha a7riii 35mm manhattan nike…,0,1
380,0,Who are you waiting for ? wait you cute afternoon iphone picfortoday dog chiwawa…,0,1
381,0,Brad Boxberger nearing return to Rays news photography fashion health fail tech ipad iphone funny l…pic.twitter.com/neh35cBqWP,0,1
382,0,Pretty amazing feeling having a phone that doesn’t need a charge all day. iphonex iphone6sucked apple theshit,0,1
383,0,How good is this?? free fruit at woolies woolworths banana apple orange fresh…,0,1
386,0,Cute Hearts?! Custom iPad and iPhone case for the Valentine's Day. .com/love-cute-hearts-custom-ipad-and-iphone-case … via,0,1
387,0,A refreshing fresh salad is all it takes to enjoy a meal. Apple iOS smartphone… -TAsaR/,0,1
388,0,with my iPhone 8 Plus | “The iPhoneX Is A User Experience Nightmare” -iphone-x-is-a-user-experience-nightmare …,0,1
391,0,Be Happy :) fit style friday money samsung wels österreich lifestyle herbst…,0,1
392,0,moschino iphone case my new baby inspired inlove fancy fashion luxury boylikeboys…,0,1
400,0,I absolutely love Sony music Cam. I recommend! sony musiccam viola photobyclementino…,0,1
416,1,“@drshwetapuri: 'Apple working on iPhone 6 running on iOS7.' Why ? Was'nt iphone5 flopshow enough ?! For No Reason :P” bad eh,1,1
418,0,WARNING - Do not poke the sleeping giant … cute aww rt ff iphone android,0,1
426,0,I going to my back iPhone and seeing more funds have been added to my account .php?refcode=8223 … workonline CashRegisterRIP,0,1
428,0,༺☾➊☽༻ RETWEET ༺☾➋☽༻ FOLLOW ALL WHO RT ༺☾➌☽༻ FOLLOWBACK ༺☾➍☽༻ GAIN WITH ME RT NOW༺☾➎☽༻ iphone sougofollow ff 98ä1,0,1
429,0,its me Nickii orange pictureoftheday samsung SamsungGalaxyS2 galaxy S2 blonde haare…,0,1
432,0,Oh hi baby! ;) new phone finally samsung galaxyS5 excited abouttime yaay baby…,0,1
442,0,At working. Hehehe america instagood selfie mac apple coffee vidadura verynice… -/,0,1
448,0,New case I lurv that new case iPhone selfie summer instgram hot 2015 wait…,0,1
453,0,Live . . . . rizkyff rzkyff holiday forest dreamer lightroom adobe sony jakarta indonesia instaday photoshoot photography instagood me followme photooftheday … ?utm_source=ig_twitter_share&igshid=qqc3xol0gb1j …,0,1
456,0,ChicagoNow -a-second-look/2011/10/to-feel-it-is-to-fly-at-least-with-your-iphone/ … what exactly is this cosmic yet concrete force in the flights of our life? iphone MRI brain,0,1
458,0,ⓒ Check out my new Flappy bird Highscore! flappybird highscore iphonesia samsung galaxys5 bird game...pic.twitter.com/vK6VHmkFY9,0,1
463,0,Happy Birthday Paps! samsung live laugh life birthday instago instahub instagram…,0,1
474,0,How to Pronounce Generic Mexican ↺RT tothemax justout warlike doggy apple modest g,0,1
475,0,?w=5331830051760 … Link in bio. 25% off all apparel. 20% of everything else use code BLACKFRIDAY iphone tee tanktops tshirt tops hoodies tshirtdesign tshirts t tshirtdress pillows instagood me tbt cute tees apparel girls boys fashion locan,0,1
476,0,"Is Beats a Mistake for Apple?►-apple/index.html?hpt=hp_c5 … ►#ANSWER: NO. Racist Trolls/#Comments & UNDERTONES aside, Apple's Earpods",0,1
487,0,Finally a Milanese Loop. watch apple watch tech gadget fashion bracelet me …,0,1
488,0,? Aka forrealdoe workout? Or train? Geefilmworkz greeneyedent cinematography photography iphonex zeiss movies motivational documentaries mensstyle finalcutpro j… ?utm_source=ig_twitter_share&igshid=nwd39qa0pste …,0,1
494,0,One Love photgraphy Sony xperiaz3 Selfie mylove sunny paradise dayoff cute…,0,1
497,0,My boyfriend new song InstaSize iPhone lol hereitis iTunes florida chrisbrown him…,0,1
499,0,RT cook_jk2 cook_jk2 未熟な料理 食材の全てに感謝 cooking jk japan ゆっこ飯 apple pie アップルパイ リンゴ f4f sweet .twitter.com/PHS14X4dzA,0,1
500,0,shopping day me starbucks coffee like4like nice instagood aruba instagood iphone …,0,1
502,1,"The main reason why I hateApple is the IOS bullshit, sooooo annoying at inconvenient times. My ipad2 thinks it will explode on every update …",0,1
503,0,How do you catch up with your family....? southerngirlproblems family cousin iphone…,0,1
506,0,- TAG YOUR FRIENDS design contemporary architecten architect arquitectura iphone mimar mimarlık araba car cars instaarchitecture concept Architektur architecture luxury archite…,0,1
514,0,Amazon Prime Day 2018: Everything you need to know -to/amazon-prime-day-2018-everything-you-need-to-know/ … Amazon amazonprme sale Deals shop onlineshopping discount free buy Ad gift birthday family news tech iphone holidays christmas like4like viral girls mom summer travel food,0,1
517,0,In love with this bathroom sohohouseberlin sony suite hello XPERIAZ3 …,0,1
522,0,Periwinkle Blue Wooden Bird Feeder - Gardening Gifts - Scottish Gifts - Birds - Apple -blue-wooden-bird-feeder-gardening-gifts-scottish-gifts-birds-apple-balls-scotland-gardener-nature-garden/ … nuMONDAY womaninbiz HandmadeHour tweedvalley birds gardens gifts giftidea ScottishBorders Apple green BLUE Eco crafthour,0,1
536,0,Smile smile girl vacation bokeh sony a7 color vsco lisboa warm sun sunny…,0,1
538,0,DRAGON BALL XENOVERSE on sale: -ball-xenoverse-best-price … ps3 cool best anime sony androidinstagram nana mmorpg memes po,0,1
539,0,That was yaaammmm russianBBQ шашлык bbq nature fun endlesssummer samsung nxmini,0,1
541,0,First pictures on my Samsung Notebook :) girl Samsung notebook birthday June instaframe…,0,1
542,0,Christmas Glitter Aztec Design -christmas-glitter-aztec-design?asc=t&p=iphone-case … via redbubble freelance iphonecases iphone tshirt christmas,0,1
545,0,I love photography photography Nikon nikonistas iPhone iphone4 funny TimBurton StainBoy toy doll,0,1
547,0,Am i right???? shoutouts indian malayali fun tbt tbs tagging photography iphone users… -vAhU/,0,1
552,0,"Sir, Please Visit my all fiverr profile. it is helpful my profile Thanks. shopify news sports health trump USA Russi Food iphone android ...................... …",0,1
564,0,What a tbf to our trip to . . . . . . tourist travel travelblogger travelphotography picoftheday photography photooftheday iphonex sky summer hot… ?utm_source=ig_twitter_share&igshid=10rpsmc4lm172 …,0,1
567,0,"Yeapp, my phone has a nice camera, I got some skills too �� opo OnePlus SoCal rain all ...",0,1
585,0,When you have the iPhoneX and a lifeproof case you can take bomb shower selfies. . . . . . selfie gay instagay gayman scruff pride nofilter joy peace … ?utm_source=ig_twitter_share&igshid=1jbp3x5wh43ic …,0,1
587,0,I got pocket full of happiness to capture ♪ excited it white new camera sony NEX5RL…,0,1
588,0,I think I'm gonna delete some pic from my phone 󾌱󾆐󾍔 pic iphone full pics instadaily instagood summer...,0,1
590,0,Designed by Apple in California. iPhoneX Apple iPhone AppleAddict Beautiful …,0,1
594,0,Teresa Giudice Heads Back To Court… news photography fashion health fail tech ipad iphone funny lol,0,1
601,0,Egg Crusher - -egg-crusher-razbey-zlye-yayca.html … Андроид Android Games News IOS Apple iPhone,0,1
604,0,Reposting : Walk through the door and on the other side you’ll find magic. explore landscape photographer beautiful outdoors getoutandexplore slowingitdown ludapix photography beautiful england apple mac macbookpro hashtag nofilter igers nikkorpic.twitter.com/9YETSuSt08,0,1
608,0,I wish to be....... shoutouts indian malayali fun tbt tbs tagging photography iphone…,0,1
610,0,Gain Followers RT This MUST FOLLOW ME I FOLLOW BACK Follow everyone who rts Gain iphone sougofollow f€k&,0,1
611,0,Repost from . Bows over bros y'all. perfection bows bowlover iphone BowdaPR want…,0,1
613,0,"Happy Born Day to Us,.. (^_-)-☆ birthday sibling brother apple iphone…",0,1
621,0,On the road on the road new skirt flowers flowerpower mirrorpic new phone samsung …,0,1
633,0,event sony 20years dressedup sonytv congratulations for completing terrific 20 years .…,0,1
640,0,My new little baby ! MacBook MacBookPro Retina Apple Luxury Proud Lady Gaga…,0,1
641,0,A surprise CD delivery from chrismuso today 100happydays Pharrell Girl newmusic Sony CD…,0,1
643,0,WHY DIDNT YOU GET IPHONE 5 AHAHAHAHA JK <3 someone is he got S4!! samsung galaxy phone…,0,1
645,0,Outings vocation newyear trip thailand khaoko a6000 ILCE6000 sony vsco snapspeed…,0,1
647,0,Merry Christmas to me. :D new camera. samsung nx2000 camera videos christmas finally…,0,1
648,0,Flowers spring flowers spring natura nature naturelovers explore f4f fun me iphonesia iphone cu… pic.twitter.com/P36MISdvdp,0,1
653,0,Samsung’s next phablet might have the best display ever seen on a phone -next-phablet-might-best-display-ever-seen-162157339.html?soc_src=unv-sh&soc_trk=tw … via GALAXYNOTE4 SAMSUNG,0,1
654,0,Make work pretty! It won't feel like work! ilovemyjob happiness mac apple mpls… -/,0,1
656,0,New Year Get FREE 60 Minutes to Call 60 Countries Android iPhone Samsung HTC LG Promo Code: TWFREE60 -launcher/ …,0,1
657,0,Iphone ksa kuw kuwait q8 qatar us uae usa iphone apple sale sfssale fun follow…,0,1
660,0,My new phone :))) new phone sony xperiaz3 black swag instapic instashot Novi… -8b/,0,1
661,0,Like and Share if you want this Car Accessory Bag iphone samsung ... .php/product/new-qualified-1pc-auto-car-accessory-hanging-bag-drinks-phones-storage-pouch-holders-levert-dropship-dig638/ …pic.twitter.com/vNIlMVSw9y,0,1
663,0,• Phone Update-IPhone 8 Plus • . . . || iphone8plus iphone8 iphone apple phone mobile treat upgrade pretty amazing tagsforlikes like4like likeforlike followme follow instagood picoftheday photography photooftheday photo bestoftheday cute ||pic.twitter.com/Dc4xrXAzIE,0,1
665,1,"Fucking hell, it's going to cost £250 to repair the two cracked corners of the ipad bad ridiculous",1,1
671,0,"Me, Myself & I Mumbai life walk instalove igers men me india _soi i iPhone myself face silhouet…pic.twitter.com/DnO8ENBC4C",0,1
674,0,Blues blow: Dugan ruled out of Origin I news photography fashion health fail tech ipad iphone funny …pic.twitter.com/jBckXC5AUh,0,1
676,0,my latest impulse buy. how beautiful! ps4 toy present game console sony white …,0,1
680,0,Fall! beautiful delicious apple crispy healthy strong food foodart yum…,0,1
681,0,It's not cming full i had to crop it... Love this scene in the iphone ios8.2 iwatch iphone…,0,1
688,0,Enjoy a Cup Of Happiness instadrink photooftheday samsung samsunggalaxytab tab2 p3100…,0,1
690,0,New phone :-) me me thakyousomuchdad mypic minenow myphone samsung samsunggalaxy… -M/,0,1
698,1,BUT APPLE I THOUGH BIG PHONES WERE UNUSABLE ?v=O99m7lebirE … Apple Hypocrits iPhone6Plus iPhone6Launch iphone6questions,0,1
699,0,Go.! IPON.! iphone igers me dream wants igersasia igersph igerspinas follow follower…,0,1
701,0,Come here to mama my new baby :* gift galaxy samsung white new sweet valentine igers…,0,1
702,0,Do ya think my new iphone cover is blingy enough!! LOL IT Iphone fibourke coustommade…,0,1
703,0,A smile in my room. showmeyour happiness smile room α6000 sony light art beautiful…,0,1
704,0,"Anything you put your mind to, you can become or accomplish it. Facts miami kingeazzy technology fit apple applestore miamibeach lit smile thankful motivation… ?utm_source=ig_twitter_share&igshid=1vtu8db1akzbc …",0,1
706,0,I think she's trying figure out what's so special about social networks baby iphone…,0,1
711,0,Gain Followers RT This MUST FOLLOW ME I FOLLOW BACK Follow everyone who rts Gain iphone sougofollow £&u5,0,1
712,0,My girl loves apples beautiful autumn apple tree nature stückle garden …,0,1
715,0,"Prettiest girl on the block, selfie game strong selfie iphonex smile blonde pretty newphone whosdis fresh hearts it ?utm_source=ig_twitter_share&igshid=sldai5lzpfj8 …",0,1
716,0,Merry Christmas One of the few times I feel it necessary for me to be in front of the camera rather than behind it! christmas sony a6300 mirrorlessgeeks family familytime familyfirst myfamily familyday myfamily familylove … pic.twitter.com/5KrmIP7XyH,0,1
717,0,Gracias apple =1 trillion? positivity motivational awesome positivevibes apple iphone ipad mac winning life -AgQj/?utm_source=ig_twitter_share&igshid=dmpxbsexw3fq …,0,1
724,0,Joe Biden: Donald Trump would lead… news photography fashion health fail tech ipad iphone funny lol,0,1
728,0,“@_MzKelz_: instagram iphone thanks ” ya I love your pics from Trinidad!! Muah sorry for your loss,0,1
731,0,Gain Followers RT This MUST FOLLOW ME I FOLLOW BACK Follow everyone who rts Gain iphone sougofollow cäc],0,1
732,0,NBA Player Bryce Dejean-Jones… news photography fashion health fail tech ipad iphone funny lol,0,1
734,0,First pic with my new cellphone Me Boy Guy Happines XperiaSL Android Sony Igers… -adwgi0/,0,1
736,0,Got my new phone today. This calls for a selfie :) newphone samsung galaxys5 white … -hPef/,0,1
742,0,"Bow Bridge Central Park, NYC.. . . . . ny nyc newyork newyorkcity manhattan westside nycphotographer nycphotography igers instagood instalike beautiful instagramhub explore exploretocreate iphonesia iphoneonly iphone… pic.twitter.com/bBtoXXhakW",0,1
743,0,Chill day sitting at the house playing ThinkYouMe? iphone iTunes this game -you-know-me/id543729704?ls=1&mt=8 …,0,1
747,0,“@mutibabe Tonight.. Oh you know. Just another day at work filming. pharrell sony musicvideo ”you go boy! :),0,1
757,0,Pure innocence a6000 sony adorable adorable cute fun family forever photogenic…,0,1
762,0,Canoe ride! Germany Beilngries Altmühltal Family Canoe Nature SamsungPH Samsung Sport Water...,0,1
771,0,5 iOS games to play with your spouse •••• To bond with my husband we play games together on our phones. Read about what games I recommend on the blog. apps iphone jumanji games boardgames husband wife marriage laugh blog blogger ontheblog article ideaspic.twitter.com/v2gy1SEzup,0,1
774,1,People - Thanks for holding then door for me oh wait ur an apple employee that’s why u suck. thanks ...,0,1
776,0,-Day 8- Eating more Happy more :) iphonex analoglondon goaloflife eating pizza… -z/,0,1
777,0,Gain Followers RT This MUST FOLLOW ME I FOLLOW BACK Follow everyone who rts Gain iphone sougofollow ff äd6g,0,1
782,0,"I will post some more goodies ——-‘,{@ tomorrow of course at affordable prices at all platforms. It would make your iphones . Wanna know more? Just wait till tomorrow and you will love it. iphone6 iphone7 iphone8 iphoneX iphone10",0,1
786,1,"please, for the love of God, stop spamming me to set up Apple Pay. I don’t have a compatible fucking card. Can I turn this spam off? apple",0,1
787,0,iPhone 8 apple iphone8 iphone iphone7 iphone7plus applewatch applewatch2 …,0,1
792,0,Shot on iPhone X . . iphone apple iphonex wonderful selfie portraitmode …,0,1
794,0,CAPTURED MOMENTS EP 9 - DurdleDoor is stunning IPhone photography YouTuber smallyoutuber?v=mKewDjPx4_w&feature=share …,0,1
799,0,"February day 10, 3 o clock! iphone apps home screen 3oclock ultrasound wallpaper her…",0,1
805,0,Jill Holmes Departs VH1 as West… news photography fashion health fail tech ipad iphone funny lol,0,1
810,0,"Peace, smile & happy. _ Office mates smile sony photography photos vscom day… -kYpB/",0,1
811,0,Track of the Day: ‘Ultraviolet (Light My Way)’ news photography fashion health fail tech ipad iphone … pic.twitter.com/ff4OC2tG4u,0,1
816,0,Why people are speculating that… news photography fashion health fail tech ipad iphone funny lol,0,1
819,0,Goodmorning sun bike scooter bluesky spring work newday iPhone screen fisheye effect…,0,1
820,0,I can’t wait until apple goes bankrupt shittycustomerservice worstdevices Million dollar company and I have to pay for help…?,0,1
828,0,Waited too long... graphicdesign graphic design art artwork maho iphone apple …,0,1
829,0,359€99 Samsung galaxy s7 edge 32gb noir samsung s7edge occasion smartphone prixhappy …,0,1
834,0,New baby! samsung galaxy 4 s4 newphone sick phone smartphone instahub instapic…,0,1
836,0,Get 10% off when you order Kids TShirt with discount code - TWITTER. Check it out - -tshirt?utm_campaign=social_autopilot&utm_source=tweet&utm_medium=tweet … iPhone case,0,1
838,0,Bought Samsung Galaxy Grand 2 for My Mom on Her Bday .. Birthday in Advance .. Duos ..…,0,1
841,0,Ok let's go sony z1 paixaodecristo rec hdv equipedelta eita aovivo pacatuba gravação… -R4wsFyqK/,0,1
843,0,"Coz Happy is so simple, just you and ofcourse the sun couple sun instadaily samsung…",0,1
854,0,Thanks papitasfritas__ for helping me make cool custom pins :) art nyc sony…,0,1
856,0,Genius of 2014...... shoutouts indian malayali fun tbt tbs tagging photography iphone…,0,1
